Name,Job Title,Grade,Organisation,maxSalary,Notes
Stephan Wilcke,Chief Executive Officer,,Asset Protection Agency,154999,
Jens Bech,Chief Risk Officer,,Asset Protection Agency,169999,No pension
Ion Dagtoglou,Chief Invesment Officer,,Asset Protection Agency,169999,No pension
Brian Scammell,Chief Credit Officer,,Asset Protection Agency,134999,4 days per week
Hamish Buckland,Special Advisor,,Asset Protection Agency,69999,2 days per week
Stephen Lovegrove,"Chief Executive, Shareholder Executive",Director General,BIS,189999,
Philip Rutnam,"Director General, Business Group",Director General,BIS,184999,
Vicky Pryce,"Director General, Economics and Joint Head, UK Government Economic Service",Director General,BIS,179999,
Prof. John Beddington,Government Chief Scientific Adviser,Permanent Secretary,BIS,169999,
Prof. Adrian Smith,"Director General, Science and Research",Director General,BIS,164999,
Philip Rycroft,"Director General, Innovation and Enterpriseand Chief Executive of the Better Regulation Executive",Director General,BIS,164999,
Howard Orme,"Director General, Finance and Commercial",Director General,BIS,164999,
Simon Fraser,BIS Permanent Secretary,Permanent Secretary,BIS,164999,
Mark Russell,"Deputy Chief Executive, Shareholder Executive",Director ,BIS,159999,
John McCready,"Managing Director, Property, Shareholder Executive",Director ,BIS,154999,
Marc Middleton,"Managing Director, Royal Mail & Postal Services, Shareholder Executive",Director ,BIS,154999,
Alison Littley,Chief Executive,Director General,Buying Solutions,154999,
Gus O'Donnell,Cabinet Secretary and Head of the Home Civil Service,Permanent Secretary,Cabinet Office,239999,
Stephen Laws,First Parliamentary Counsel,Permanent Secretary,Cabinet Office,229999,
John Suffolk,Chief Information Officer for HM Government and chair of the CIO Council,Director General,Cabinet Office,209999,
Catherine Johnston,Parliamentary Counsel,Parliamentary Counsel,Cabinet Office,194999,
Gill Rider,Head of Civil Service Capability Group,Director General,Cabinet Office,184999,No pension
Elizabeth Gardiner,Parliamentary Counsel,Parliamentary Counsel,Cabinet Office,174999,
Adrian Hogarth,Parliamentary Counsel,Parliamentary Counsel,Cabinet Office,174999,
Leonie McLaughlin,Parliamentary Counsel,Parliamentary Counsel,Cabinet Office,174999,
Matt Tee,Permanent Secretary for Government Communications,Permanent Secretary,Cabinet Office,164999,
Alex Allan,Chairman of the Joint Intelligence committee and Professional Head of Intelligence Analysis,Permanent Secretary,Cabinet Office,164999,
Jonathan Cunliffe,Prime Minister's Adviser on International Economic Affairs and Europe,Permanent Secretary,Cabinet Office,159999,
Jeremy Heywood,"Permanent Secretary, No.10",Permanent Secretary,Cabinet Office,154999,
Janet Paraskeva,First Civil Service Commissioner,,Cabinet Office,124999,Equal to 0.6 Full Time Salary
Janet Gaymer,Commissioner for Public Appointments,,Cabinet Office,94999,Equal to 0.6 Full Time Salary
Joe Montgomery,"Director General, Regions and Communities ",Director General,Communities & Local Government,154999,
Sir Ken Knight,Chief Fire and Rescue Adviser,Director ,Communities & Local Government,169999,
Richard McCarthy,"Director General, Housing and Planning ",Director General,Communities & Local Government,179999,
Peter Housden,Permanent Secretary,Permanent Secretary,Communities & Local Government,189999,
Peter Lewis,Chief Executive,Director General,Crown Prosecution Service,164999,
Keir Starmer,Director of Public Prosecutions,Permanent Secretary,Crown Prosecution Service,199999,
David Green,Director of Revenues and Customs Division,,Crown Prosecution Service,214999,Officer was previously the Permanent Secretary for RCPO and currently retains this grade on a personal basis
Jonathan Stephens,Permanent Secretary,Permanent Secretary,DCMS,159999,
Jeremy Beeton,"Director General,Government Olympic Executive",Director General,DCMS,229999,
David Goldstone ,"Director- Finance and Programme, Government Olympic Executive",Director ,DCMS,189999,
Moira Wallace,Permanent Secretary,Permanent Secretary,DECC,169999,
Dame Helen Ghosh,Permanent Secretary,Permanent Secretary,Defra,144999,4.5 days per week
Prof Robert Watson,Chief Scientific Adviser,Director General,Defra,139999,4 days per week
Nemat Shafik,Permanent Secretary,Permanent Secretary,Department for International Development,194999,
Robert Devereux,Permanent Secretary,Permanent Secretary,Department for Transport,164999,
Dr Mike Mitchell,Head of National Networks Group,Director General,Department for Transport (Centre),204999,
Nirmal Kotecha,Major Projects Director ,Director ,"Department for Transport, Highways Agency",154999,
David Nicholson,NHS Chief Executive,Permanent Secretary,Dept. of Health,259999,Includes a gross benefit in kind of 45-50k for a rented flat and associated expenses in London
Clare Chapman,Director General of Workforce,Director General,Dept. of Health,224999,Contractual bonus not included
Sir Liam Donaldson,Chief Medical Officer,Permanent Secretary,Dept. of Health,209999,
Christine Connelly,Chief Information Officer,Director General,Dept. of Health,204999,
Gabriel Scally,Regional Director of Public Health,Director,Dept. of Health,204999,
David Behan,"Director General of Social Care, Local Government and Carepartnerships",Director General,Dept. of Health,184999,
David Salisbury,Director of Immunisation,Director ,Dept. of Health,179999,
Lindsey Davies,Interim Regional Director of Public Health,Director ,Dept. of Health,169999,
Sir Hugh Taylor,"Permanent Secretary, DH",Permanent Secretary,Dept. of Health,159999,
Martin Bellamy,ICT Director,Director ,Dept. of Health,164999,
